 i       X     FEXACT   FI_LAXW   ERR_LAXW
 349   0.21826   0.98018   0.49886   0.48132
 350   0.21889   0.98095   0.49545   0.48550
 351   0.21951   0.98170   0.49204   0.48967
 352   0.22014   0.98245   0.48861   0.49384
 353   0.22076   0.98317   0.48518   0.49799
 354   0.22139   0.98389   0.48174   0.50214
 355   0.22201   0.98458   0.47830   0.50628
 356   0.22264   0.98525   0.47484   0.51041
 357   0.22326   0.98593   0.47138   0.51454
 358   0.22389   0.98657   0.46791   0.51866
 359   0.22452   0.98721   0.46444   0.52277
 360   0.22514   0.98783   0.46096   0.52687
 361   0.22577   0.98843   0.45747   0.53096
 362   0.22639   0.98902   0.45397   0.53505
 363   0.22702   0.98959   0.45047   0.53912
 364   0.22764   0.99015   0.44696   0.54319
 365   0.22827   0.99068   0.44344   0.54724
 366   0.22889   0.99122   0.43992   0.55130
 367   0.22952   0.99173   0.43639   0.55533
 368   0.23014   0.99222   0.43286   0.55936
 369   0.23077   0.99271   0.42932   0.56339
 370   0.23139   0.99317   0.42577   0.56740
 371   0.23202   0.99362   0.42222   0.57140
 372   0.23265   0.99406   0.41866   0.57539
 373   0.23327   0.99447   0.41510   0.57938
 374   0.23390   0.99488   0.41153   0.58335
 375   0.23452   0.99527   0.40795   0.58732
 376   0.23515   0.99565   0.40437   0.59128
 377   0.23577   0.99600   0.40078   0.59522
 378   0.23640   0.99635   0.39719   0.59916
 379   0.23702   0.99668   0.39359   0.60309
 380   0.23765   0.99699   0.38998   0.60700
 381   0.23827   0.99729   0.38637   0.61091
 382   0.23890   0.99757   0.38276   0.61481
 383   0.23952   0.99783   0.37913   0.61870
 384   0.24015   0.99809   0.37550   0.62258
 385   0.24078   0.99832   0.37187   0.62645
 386   0.24140   0.99854   0.36823   0.63032
 387   0.24203   0.99874   0.36458   0.63417
 388   0.24265   0.99893   0.36092   0.63801
 389   0.24328   0.99911   0.35727   0.64184
 390   0.24390   0.99927   0.35360   0.64567
 391   0.24453   0.99941   0.34993   0.64948
 392   0.24515   0.99954   0.34625   0.65328
 393   0.24578   0.99965   0.34257   0.65708
 394   0.24640   0.99974   0.33888   0.66087
 395   0.24703   0.99983   0.33518   0.66464
 396   0.24765   0.99989   0.33148   0.66841
 397   0.24828   0.99994   0.32778   0.67216
 398   0.24891   0.99998   0.32406   0.67591
 399   0.24953   1.00000   0.32035   0.67965
 400   0.25016   1.00000   0.31662   0.68338
 401   0.25078   0.99999   0.31290   0.68709
 402   0.25141   0.99996   0.30916   0.69080
 403   0.25203   0.99992   0.30543   0.69449
 404   0.25266   0.99986   0.30168   0.69818
 405   0.25328   0.99979   0.29793   0.70185
 406   0.25391   0.99970   0.29418   0.70552
 407   0.25453   0.99960   0.29043   0.70917
 408   0.25516   0.99948   0.28666   0.71281
 409   0.25578   0.99934   0.28290   0.71644
 410   0.25641   0.99919   0.27913   0.72006
 411   0.25704   0.99902   0.27535   0.72367
 412   0.25766   0.99884   0.27157   0.72727
 413   0.25829   0.99865   0.26779   0.73085
 414   0.25891   0.99843   0.26400   0.73443
 415   0.25954   0.99820   0.26021   0.73799
 416   0.26016   0.99796   0.25642   0.74155
 417   0.26079   0.99771   0.25262   0.74509
 418   0.26141   0.99743   0.24881   0.74862
 419   0.26204   0.99714   0.24501   0.75214
 420   0.26266   0.99683   0.24120   0.75564
 421   0.26329   0.99652   0.23738   0.75914
 422   0.26391   0.99618   0.23356   0.76262
 423   0.26454   0.99583   0.22974   0.76609
 424   0.26517   0.99547   0.22591   0.76955
 425   0.26579   0.99508   0.22208   0.77300
 426   0.26642   0.99469   0.21825   0.77643
 427   0.26704   0.99428   0.21442   0.77986
 428   0.26767   0.99384   0.21058   0.78327
 429   0.26829   0.99340   0.20673   0.78667
 430   0.26892   0.99294   0.20289   0.79005
 431   0.26954   0.99247   0.19904   0.79343
 432   0.27017   0.99198   0.19519   0.79680
 433   0.27079   0.99147   0.19133   0.80014
 434   0.27142   0.99096   0.18748   0.80348
 435   0.27205   0.99043   0.18362   0.80681
 436   0.27267   0.98988   0.17976   0.81012
 437   0.27330   0.98931   0.17589   0.81342
 438   0.27392   0.98873   0.17203   0.81671
 439   0.27455   0.98814   0.16816   0.81998
 440   0.27517   0.98752   0.16429   0.82324
 441   0.27580   0.98690   0.16041   0.82649
 442   0.27642   0.98625   0.15654   0.82971
 443   0.27705   0.98560   0.15266   0.83294
 444   0.27767   0.98493   0.14878   0.83615
 445   0.27830   0.98424   0.14490   0.83934
 446   0.27892   0.98354   0.14102   0.84252
 447   0.27955   0.98281   0.13713   0.84568
 448   0.28018   0.98209   0.13325   0.84884
 449   0.28080   0.98134   0.12936   0.85198
 450   0.28143   0.98057   0.12547   0.85510
 451   0.28205   0.97980   0.12158   0.85822
 452   0.28268   0.97900   0.11768   0.86131
 453   0.28330   0.97819   0.11379   0.86440
 454   0.28393   0.97737   0.10989   0.86748
 455   0.28455   0.97653   0.10599   0.87054
 456   0.28518   0.97568   0.10209   0.87359
 457   0.28580   0.97480   0.09819   0.87661
 458   0.28643   0.97392   0.09428   0.87964
 459   0.28705   0.97301   0.09038   0.88264
 460   0.28768   0.97211   0.08647   0.88564
 461   0.28831   0.97118   0.08256   0.88862
 462   0.28893   0.97023   0.07865   0.89158
 463   0.28956   0.96928   0.07473   0.89454
 464   0.29018   0.96829   0.07082   0.89747
 465   0.29081   0.96731   0.06690   0.90041
 466   0.29143   0.96631   0.06299   0.90333
 467   0.29206   0.96528   0.05907   0.90622
 468   0.29268   0.96425   0.05514   0.90911
 469   0.29331   0.96320   0.05122   0.91197
 470   0.29393   0.96215   0.04730   0.91486
 471   0.29456   0.96107   0.04337   0.91770
 472   0.29518   0.95998   0.03944   0.92054
 473   0.29581   0.95888   0.03551   0.92336
 474   0.29644   0.95774   0.03158   0.92616
 475   0.29706   0.95661   0.02765   0.92896
 476   0.29769   0.95545   0.02372   0.93173
 477   0.29831   0.95429   0.01978   0.93451
 478   0.29894   0.95312   0.01585   0.93727
 479   0.29956   0.95191   0.01191   0.94000
 480   0.30019   0.95070   0.00797   0.94273
 481   0.30081   0.94947   0.00403   0.94543
 482   0.30144   0.94823   0.00010   0.94814
 483   0.30206   0.94698  -0.00385   0.95083
 484   0.30269   0.94570  -0.00779   0.95349
 485   0.30331   0.94443  -0.01173   0.95615
 486   0.30394   0.94311  -0.01567   0.95878
 487   0.30457   0.94181  -0.01961   0.96142
 488   0.30519   0.94049  -0.02356   0.96404
 489   0.30582   0.93913  -0.02750   0.96663
 490   0.30644   0.93778  -0.03144   0.96923
 491   0.30707   0.93640  -0.03539   0.97178
 492   0.30769   0.93502  -0.03933   0.97435
 493   0.30832   0.93363  -0.04327   0.97690
 494   0.30894   0.93220  -0.04721   0.97941
 495   0.30957   0.93078  -0.05116   0.98194
 496   0.31019   0.92932  -0.05510   0.98442
 497   0.31082   0.92787  -0.05904   0.98691
 498   0.31144   0.92641  -0.06298   0.98939
 499   0.31207   0.92491  -0.06692   0.99183
 500   0.31270   0.92341  -0.07086   0.99427
 501   0.31332   0.92188  -0.07479   0.99668
 502   0.31395   0.92036  -0.07873   0.99909
 503   0.31457   0.91883  -0.08267   1.00149
 504   0.31520   0.91726  -0.08660   1.00385
 505   0.31582   0.91572  -0.09053   1.00625
 506   0.31645   0.91412  -0.09446   1.00858
 507   0.31707   0.91253  -0.09839   1.01091
 508   0.31770   0.91090  -0.10231   1.01321
 509   0.31832   0.90928  -0.10624   1.01551
 510   0.31895   0.90764  -0.11016   1.01780
 511   0.31957   0.90597  -0.11408   1.02005
 512   0.32020   0.90431  -0.11800   1.02231
 513   0.32083   0.90261  -0.12191   1.02452
 514   0.32145   0.90092  -0.12582   1.02674
 515   0.32208   0.89922  -0.12973   1.02895
 516   0.32270   0.89748  -0.13364   1.03111
 517   0.32333   0.89575  -0.13754   1.03329
 518   0.32395   0.89398  -0.14144   1.03542
 519   0.32458   0.89222  -0.14534   1.03756
 520   0.32520   0.89042  -0.14923   1.03965
 521   0.32583   0.88864  -0.15312   1.04176
 522   0.32645   0.88684  -0.15701   1.04385
 523   0.32708   0.88500  -0.16090   1.04589
 524   0.32770   0.88317  -0.16478   1.04795
 525   0.32833   0.88130  -0.16866   1.04996
 526   0.32896   0.87945  -0.17253   1.05198
 527   0.32958   0.87759  -0.17641   1.05399
 528   0.33021   0.87568  -0.18028   1.05595
 529   0.33083   0.87378  -0.18414   1.05793
 530   0.33146   0.87185  -0.18801   1.05986
 531   0.33208   0.86993  -0.19187   1.06180
 532   0.33271   0.86800  -0.19573   1.06372
 533   0.33333   0.86602  -0.19958   1.06560
 534   0.33396   0.86406  -0.20343   1.06749
 535   0.33458   0.86205  -0.20728   1.06934
 536   0.33521   0.86007  -0.21113   1.07120
 537   0.33583   0.85807  -0.21497   1.07304
 538   0.33646   0.85602  -0.21881   1.07484
 539   0.33709   0.85403  -0.22265   1.07668
 540   0.33771   0.85196  -0.22649   1.07845
 541   0.33834   0.84991  -0.23032   1.08022
 542   0.33896   0.84781  -0.23414   1.08195
 543   0.33959   0.84573  -0.23797   1.08370
 544   0.34021   0.84364  -0.24179   1.08543
 545   0.34084   0.84151  -0.24560   1.08711
 546   0.34146   0.83939  -0.24941   1.08880
 547   0.34209   0.83723  -0.25322   1.09045
 548   0.34271   0.83508  -0.25702   1.09211
 549   0.34334   0.83293  -0.26082   1.09375
 550   0.34396   0.83073  -0.26462   1.09534
 551   0.34459   0.82855  -0.26841   1.09695
 552   0.34522   0.82632  -0.27219   1.09851
 553   0.34584   0.82411  -0.27597   1.10008
 554   0.34647   0.82189  -0.27975   1.10164
 555   0.34709   0.81963  -0.28352   1.10315
 556   0.34772   0.81738  -0.28729   1.10467
 557   0.34834   0.81509  -0.29105   1.10614
 558   0.34897   0.81282  -0.29481   1.10763
 559   0.34959   0.81054  -0.29856   1.10910
 560   0.35022   0.80821  -0.30231   1.11052
 561   0.35084   0.80590  -0.30606   1.11196
 562   0.35147   0.80355  -0.30980   1.11334
 563   0.35210   0.80122  -0.31353   1.11475
 564   0.35272   0.79887  -0.31726   1.11613
 565   0.35335   0.79648  -0.32099   1.11747
 566   0.35397   0.79411  -0.32471   1.11882
 567   0.35460   0.79169  -0.32842   1.12012
 568   0.35522   0.78930  -0.33213   1.12143
 569   0.35585   0.78690  -0.33584   1.12274
 570   0.35647   0.78444  -0.33954   1.12398
 571   0.35710   0.78201  -0.34323   1.12525
 572   0.35772   0.77954  -0.34692   1.12646
 573   0.35835   0.77708  -0.35061   1.12769
 574   0.35897   0.77462  -0.35429   1.12890
 575   0.35960   0.77214  -0.35796   1.13010
 576   0.36023   0.76965  -0.36163   1.13128
 577   0.36085   0.76711  -0.36529   1.13240
 578   0.36148   0.76460  -0.36894   1.13355
 579   0.36210   0.76204  -0.37259   1.13463
 580   0.36273   0.75950  -0.37624   1.13574
 581   0.36335   0.75696  -0.37988   1.13684
 582   0.36398   0.75436  -0.38351   1.13787
 583   0.36460   0.75179  -0.38714   1.13893
 584   0.36523   0.74917  -0.39076   1.13992
 585   0.36585   0.74657  -0.39437   1.14095
 586   0.36648   0.74393  -0.39798   1.14191
 587   0.36710   0.74131  -0.40158   1.14290
 588   0.36773   0.73869  -0.40518   1.14387
 589   0.36836   0.73601  -0.40877   1.14478
 590   0.36898   0.73336  -0.41236   1.14571
 591   0.36961   0.73065  -0.41593   1.14659
 592   0.37023   0.72798  -0.41951   1.14749
 593   0.37086   0.72530  -0.42307   1.14837
 594   0.37148   0.72256  -0.42664   1.14919
 595   0.37211   0.71985  -0.43019   1.15004
 596   0.37273   0.71709  -0.43374   1.15083
 597   0.37336   0.71437  -0.43728   1.15165
