 i       X     FEXACT   FI_UPWIND   ERR_UP
 248   0.15510   0.82741   0.70348   0.12393
 249   0.15572   0.82963   0.70137   0.12826
 250   0.15635   0.83180   0.69924   0.13256
 251   0.15697   0.83397   0.69711   0.13686
 252   0.15760   0.83615   0.69497   0.14118
 253   0.15822   0.83828   0.69281   0.14547
 254   0.15885   0.84044   0.69065   0.14980
 255   0.15947   0.84255   0.68847   0.15408
 256   0.16010   0.84465   0.68628   0.15837
 257   0.16073   0.84677   0.68409   0.16268
 258   0.16135   0.84884   0.68188   0.16696
 259   0.16198   0.85093   0.67966   0.17127
 260   0.16260   0.85297   0.67743   0.17554
 261   0.16323   0.85501   0.67519   0.17981
 262   0.16385   0.85703   0.67294   0.18408
 263   0.16448   0.85906   0.67068   0.18838
 264   0.16510   0.86106   0.66841   0.19264
 265   0.16573   0.86304   0.66613   0.19690
 266   0.16635   0.86503   0.66384   0.20119
 267   0.16698   0.86699   0.66154   0.20545
 268   0.16760   0.86896   0.65923   0.20973
 269   0.16823   0.87088   0.65691   0.21398
 270   0.16886   0.87280   0.65458   0.21822
 271   0.16948   0.87473   0.65223   0.22249
 272   0.17011   0.87661   0.64988   0.22673
 273   0.17073   0.87851   0.64752   0.23099
 274   0.17136   0.88037   0.64515   0.23523
 275   0.17198   0.88222   0.64277   0.23945
 276   0.17261   0.88408   0.64037   0.24371
 277   0.17323   0.88590   0.63797   0.24793
 278   0.17386   0.88773   0.63556   0.25217
 279   0.17448   0.88952   0.63314   0.25638
 280   0.17511   0.89130   0.63071   0.26059
 281   0.17573   0.89309   0.62827   0.26482
 282   0.17636   0.89484   0.62582   0.26903
 283   0.17699   0.89661   0.62336   0.27325
 284   0.17761   0.89833   0.62089   0.27744
 285   0.17824   0.90004   0.61841   0.28163
 286   0.17886   0.90176   0.61592   0.28584
 287   0.17949   0.90344   0.61342   0.29002
 288   0.18011   0.90514   0.61091   0.29422
 289   0.18074   0.90679   0.60840   0.29840
 290   0.18136   0.90843   0.60587   0.30256
 291   0.18199   0.91008   0.60333   0.30675
 292   0.18261   0.91169   0.60079   0.31091
 293   0.18324   0.91332   0.59823   0.31508
 294   0.18386   0.91490   0.59567   0.31923
 295   0.18449   0.91647   0.59310   0.32337
 296   0.18512   0.91803   0.59052   0.32751
 297   0.18574   0.91957   0.58793   0.33164
 298   0.18637   0.92112   0.58533   0.33579
 299   0.18699   0.92263   0.58272   0.33992
 300   0.18762   0.92416   0.58010   0.34406
 301   0.18824   0.92564   0.57747   0.34817
 302   0.18887   0.92711   0.57484   0.35227
 303   0.18949   0.92859   0.57220   0.35640
 304   0.19012   0.93003   0.56954   0.36049
 305   0.19074   0.93149   0.56688   0.36460
 306   0.19137   0.93290   0.56421   0.36869
 307   0.19199   0.93430   0.56153   0.37277
 308   0.19262   0.93571   0.55884   0.37686
 309   0.19325   0.93708   0.55615   0.38093
 310   0.19387   0.93845   0.55344   0.38501
 311   0.19450   0.93980   0.55073   0.38907
 312   0.19512   0.94112   0.54800   0.39312
 313   0.19575   0.94246   0.54527   0.39718
 314   0.19637   0.94376   0.54254   0.40122
 315   0.19700   0.94506   0.53979   0.40527
 316   0.19762   0.94633   0.53703   0.40930
 317   0.19825   0.94759   0.53427   0.41332
 318   0.19887   0.94885   0.53149   0.41735
 319   0.19950   0.95007   0.52871   0.42136
 320   0.20013   0.95130   0.52593   0.42538
 321   0.20075   0.95250   0.52313   0.42937
 322   0.20138   0.95368   0.52033   0.43336
 323   0.20200   0.95487   0.51751   0.43736
 324   0.20263   0.95602   0.51469   0.44133
 325   0.20325   0.95718   0.51186   0.44531
 326   0.20388   0.95830   0.50903   0.44927
 327   0.20450   0.95943   0.50618   0.45324
 328   0.20513   0.96052   0.50333   0.45719
