 i       X     FEXACT   FI_LAXF   ERR_LAXF
 249   0.24812   0.00000    0.260076    0.260076
 250   0.25313   0.00000    0.260320    0.260320
 251   0.25815   0.00000    0.260102    0.260102
 252   0.26316   0.00000    0.260345    0.260345
 253   0.26817   0.00000    0.260129    0.260129
 254   0.27318   0.00000    0.260371    0.260371
 255   0.27820   0.00000    0.260157    0.260157
 256   0.28321   0.00000    0.260397    0.260397
 257   0.28822   0.00000    0.260185    0.260185
 258   0.29323   0.00000    0.260422    0.260422
 259   0.29825   0.00000    0.260214    0.260214
 260   0.30326   0.00000    0.260448    0.260448
 261   0.30827   0.00000    0.260242    0.260242
 262   0.31328   0.00000    0.260474    0.260474
 263   0.31830   0.00000    0.260271    0.260271
 264   0.32331   0.00000    0.260500    0.260500
 265   0.32832   0.00000    0.260300    0.260300
 266   0.33333   0.00000    0.260527    0.260527
 267   0.33835   0.00000    0.260329    0.260329
 268   0.34336   0.00000    0.260553    0.260553
 269   0.34837   0.00000    0.260358    0.260358
 270   0.35338   0.00000    0.260580    0.260580
 271   0.35840   0.00000    0.260387    0.260387
 272   0.36341   0.00000    0.260606    0.260606
 273   0.36842   0.00000    0.260416    0.260416
 274   0.37343   0.00000    0.260633    0.260633
 275   0.37845   0.00000    0.260446    0.260446
 276   0.38346   0.00000    0.260659    0.260659
 277   0.38847   0.00000    0.260475    0.260475
 278   0.39348   0.00000    0.260686    0.260686
 279   0.39850   0.00000    0.260504    0.260504
 280   0.40351   0.26238    0.260713    0.001663
 281   0.40852   0.40364    0.260533    0.143109
 282   0.41353   0.50200    0.260739    0.241260
 283   0.41855   0.57971    0.260562    0.319153
 284   0.42356   0.64503    0.260766    0.384261
 285   0.42857   0.70003    0.260592    0.439441
 286   0.43358   0.74768    0.260792    0.486885
 287   0.43860   0.78930    0.260621    0.528675
 288   0.44361   0.82580    0.260819    0.564980
 289   0.44862   0.85784    0.260650    0.597190
 290   0.45363   0.88590    0.260845    0.625059
 291   0.45865   0.91036    0.260679    0.649680
 292   0.46366   0.93173    0.260872    0.670855
 293   0.46867   0.94972    0.260708    0.689008
 294   0.47368   0.96478    0.260899    0.703880
 295   0.47870   0.97705    0.260738    0.716312
 296   0.48371   0.98663    0.260925    0.725707
 297   0.48872   0.99360    0.260767    0.732838
 298   0.49373   0.99802    0.260952    0.737070
 299   0.49875   0.99992    0.260796    0.739122
 300   0.50376   0.99928    0.260978    0.738305
 301   0.50877   0.99613    0.260825    0.735305
 302   0.51378   0.99044    0.261005    0.729436
 303   0.51880   0.98217    0.260855    0.721317
 304   0.52381   0.97126    0.261032    0.710224
 305   0.52882   0.95760    0.260884    0.696721
 306   0.53383   0.94110    0.261059    0.680039
 307   0.53885   0.92158    0.260913    0.660669
 308   0.54386   0.89856    0.261085    0.637478
 309   0.54887   0.87234    0.260942    0.611402
 310   0.55388   0.84234    0.261112    0.581232
 311   0.55890   0.80814    0.260972    0.547169
 312   0.56391   0.76918    0.261139    0.508036
 313   0.56892   0.72468    0.261001    0.463678
 314   0.57393   0.67356    0.261166    0.412391
 315   0.57895   0.61416    0.261030    0.353126
 316   0.58396   0.54283    0.261192    0.281636
 317   0.58897   0.45617    0.261059    0.195111
 318   0.59398   0.34134    0.261219    0.080117
 319   0.59900   0.14114    0.261088    0.119952
 320   0.60401   0.00000    0.261245    0.261245
 321   0.60902   0.00000    0.261117    0.261117
 322   0.61404   0.00000    0.261271    0.261271
 323   0.61905   0.00000    0.261146    0.261146
 324   0.62406   0.00000    0.261296    0.261296
 325   0.62907   0.00000    0.261174    0.261174
 326   0.63409   0.00000    0.261321    0.261321
 327   0.63910   0.00000    0.261202    0.261202
 328   0.64411   0.00000    0.261346    0.261346
 329   0.64912   0.00000    0.261230    0.261230
 330   0.65414   0.00000    0.261370    0.261370
 331   0.65915   0.00000    0.261257    0.261257
 332   0.66416   0.00000    0.261394    0.261394
 333   0.66917   0.00000    0.261284    0.261284
 334   0.67419   0.00000    0.261418    0.261418
 335   0.67920   0.00000    0.261311    0.261311
 336   0.68421   0.00000    0.261441    0.261441
 337   0.68922   0.00000    0.261337    0.261337
 338   0.69424   0.00000    0.261463    0.261463
 339   0.69925   0.00000    0.261362    0.261362
 340   0.70426   0.00000    0.261485    0.261485
 341   0.70927   0.00000    0.261387    0.261387
 342   0.71429   0.00000    0.261506    0.261506
 343   0.71930   0.00000    0.261411    0.261411
 344   0.72431   0.00000    0.261526    0.261526
 345   0.72932   0.00000    0.261435    0.261435
 346   0.73434   0.00000    0.261546    0.261546
 347   0.73935   0.00000    0.261458    0.261458
 348   0.74436   0.00000    0.261565    0.261565
 349   0.74937   0.00000    0.261480    0.261480
 350   0.75439   0.00000    0.261583    0.261583
 351   0.75940   0.00000    0.261502    0.261502
 352   0.76441   0.00000    0.261600    0.261600
 353   0.76942   0.00000    0.261522    0.261522
 354   0.77444   0.00000    0.261617    0.261617
 355   0.77945   0.00000    0.261542    0.261542
 356   0.78446   0.00000    0.261632    0.261632
 357   0.78947   0.00000    0.261561    0.261561
 358   0.79449   0.00000    0.261647    0.261647
 359   0.79950   0.00000    0.261580    0.261580
 360   0.80451   0.00000    0.261661    0.261661
 361   0.80952   0.00000    0.261597    0.261597
 362   0.81454   0.00000    0.261674    0.261674
 363   0.81955   0.00000    0.261614    0.261614
 364   0.82456   0.00000    0.261686    0.261686
 365   0.82957   0.00000    0.261629    0.261629
 366   0.83459   0.00000    0.261698    0.261698
 367   0.83960   0.00000    0.261644    0.261644
 368   0.84461   0.00000    0.261708    0.261708
 369   0.84962   0.00000    0.261657    0.261657
 370   0.85464   0.00000    0.261717    0.261717
 371   0.85965   0.00000    0.261670    0.261670
 372   0.86466   0.00000    0.261725    0.261725
 373   0.86967   0.00000    0.261681    0.261681
 374   0.87469   0.00000    0.261733    0.261733
 375   0.87970   0.00000    0.261692    0.261692
 376   0.88471   0.00000    0.261739    0.261739
 377   0.88972   0.00000    0.261702    0.261702
 378   0.89474   0.00000    0.261744    0.261744
 379   0.89975   0.00000    0.261710    0.261710
 380   0.90476   0.00000    0.261748    0.261748
 381   0.90977   0.00000    0.261718    0.261718
 382   0.91479   0.00000    0.261751    0.261751
 383   0.91980   0.00000    0.261724    0.261724
 384   0.92481   0.00000    0.261753    0.261753
 385   0.92982   0.00000    0.261730    0.261730
 386   0.93484   0.00000    0.261754    0.261754
 387   0.93985   0.00000    0.261734    0.261734
 388   0.94486   0.00000    0.261754    0.261754
 389   0.94987   0.00000    0.261738    0.261738
 390   0.95489   0.00000    0.261753    0.261753
 391   0.95990   0.00000    0.261740    0.261740
 392   0.96491   0.00000    0.261751    0.261751
 393   0.96992   0.00000    0.261741    0.261741
 394   0.97494   0.00000    0.261747    0.261747
 395   0.97995   0.00000    0.261741    0.261741
 396   0.98496   0.00000    0.261743    0.261743
 397   0.98997   0.00000    0.261741    0.261741
 398   0.99499   0.00000    0.261738    0.261738
 399   1.00000   0.00000    0.261739    0.261739
 
