 # t   L1   L2   Linf
  0.32900000E+03  0.65739133E+00  0.53593644E+00  0.77577410E+00
  0.33000000E+03  0.65687670E+00  0.53565706E+00  0.77426723E+00
  0.33100000E+03  0.65833877E+00  0.53624406E+00  0.77288992E+00
  0.33200000E+03  0.65727089E+00  0.53575216E+00  0.77225677E+00
  0.33300000E+03  0.65593767E+00  0.53440379E+00  0.77461458E+00
  0.33400000E+03  0.65714839E+00  0.53590101E+00  0.77517002E+00
  0.33500000E+03  0.65793431E+00  0.53624846E+00  0.77521562E+00
  0.33600000E+03  0.65742977E+00  0.53597326E+00  0.77371562E+00
  0.33700000E+03  0.65887471E+00  0.53655411E+00  0.77234249E+00
  0.33800000E+03  0.65781579E+00  0.53606674E+00  0.77168995E+00
  0.33900000E+03  0.65646194E+00  0.53470374E+00  0.77405458E+00
  0.34000000E+03  0.65769147E+00  0.53621184E+00  0.77461420E+00
  0.34100000E+03  0.65846407E+00  0.53655341E+00  0.77466653E+00
  0.34200000E+03  0.65797185E+00  0.53628242E+00  0.77317321E+00
  0.34300000E+03  0.65939763E+00  0.53685724E+00  0.77180415E+00
  0.34400000E+03  0.65834759E+00  0.53637440E+00  0.77113281E+00
  0.34500000E+03  0.65697348E+00  0.53499704E+00  0.77350408E+00
  0.34600000E+03  0.65822163E+00  0.53651578E+00  0.77406776E+00
  0.34700000E+03  0.65898115E+00  0.53685159E+00  0.77412663E+00
  0.34800000E+03  0.65850122E+00  0.53658484E+00  0.77263981E+00
  0.34900000E+03  0.65990803E+00  0.53715376E+00  0.77127470E+00
  0.35000000E+03  0.65886678E+00  0.53667544E+00  0.77058515E+00
  0.35100000E+03  0.65747282E+00  0.53528398E+00  0.77296286E+00
  0.35200000E+03  0.65873935E+00  0.53681315E+00  0.77353050E+00
  0.35300000E+03  0.65948602E+00  0.53714331E+00  0.77359573E+00
  0.35400000E+03  0.65901835E+00  0.53688081E+00  0.77211522E+00
  0.35500000E+03  0.66040640E+00  0.53744394E+00  0.77075396E+00
  0.35600000E+03  0.65937386E+00  0.53697014E+00  0.77004676E+00
  0.35700000E+03  0.65796041E+00  0.53556483E+00  0.77243074E+00
  0.35800000E+03  0.65924510E+00  0.53710422E+00  0.77300223E+00
  0.35900000E+03  0.65997916E+00  0.53742884E+00  0.77307364E+00
  0.36000000E+03  0.65952370E+00  0.53717061E+00  0.77159926E+00
  0.36100000E+03  0.66089320E+00  0.53772806E+00  0.77024176E+00
  0.36200000E+03  0.65986928E+00  0.53725878E+00  0.76951744E+00
  0.36300000E+03  0.65843671E+00  0.53583987E+00  0.77190751E+00
  0.36400000E+03  0.65973934E+00  0.53738927E+00  0.77248275E+00
  0.36500000E+03  0.66046100E+00  0.53770845E+00  0.77256018E+00
  0.36600000E+03  0.66001770E+00  0.53745449E+00  0.77109177E+00
  0.36700000E+03  0.66136886E+00  0.53800637E+00  0.76973791E+00
  0.36800000E+03  0.66035346E+00  0.53754160E+00  0.76899699E+00
  0.36900000E+03  0.65890213E+00  0.53610932E+00  0.77139299E+00
  0.37000000E+03  0.66022248E+00  0.53766853E+00  0.77197188E+00
  0.37100000E+03  0.66093195E+00  0.53798239E+00  0.77205516E+00
  0.37200000E+03  0.66050077E+00  0.53773269E+00  0.77059256E+00
  0.37300000E+03  0.66183378E+00  0.53827911E+00  0.76924226E+00
  0.37400000E+03  0.66082683E+00  0.53781883E+00  0.76848523E+00
  0.37500000E+03  0.65935707E+00  0.53637342E+00  0.77088700E+00
  0.37600000E+03  0.66069492E+00  0.53794224E+00  0.77146945E+00
